	Country.y	Country.x	Country Code	Region	Location	peace2008	peace2009	peace2010	peace2011	peace2012	peace2013	peace2014	peace2015	peace2016	peace2017	tier2002	tier2003	tier2004	tier2005	tier2006	tier2007	tier2008	tier2009	tier2010	tier2011	tier2012	tier2013	tier2014	tier2015	tier2016	tier2017	poverty1990	poverty1991	poverty1992	poverty1993	poverty1994	poverty1995	poverty1996	poverty1997	poverty1998	poverty1999	poverty2000	poverty2001	poverty2002	poverty2003	poverty2004	poverty2005	poverty2006	poverty2007	poverty2008	poverty2009	poverty2010	poverty2011	poverty2012	poverty2013	poverty2014	poverty2015	poverty2016	poverty2017	poverty2018	gender2006	gender2007	gender2008	gender2009	gender2010	gender2011	gender2012	gender2013	gender2014	gender2015	gender2016	gender2017	gdp_per_capita1960	gdp_per_capita1961	gdp_per_capita1962	gdp_per_capita1963	gdp_per_capita1964	gdp_per_capita1965	gdp_per_capita1966	gdp_per_capita1967	gdp_per_capita1968	gdp_per_capita1969	gdp_per_capita1970	gdp_per_capita1971	gdp_per_capita1972	gdp_per_capita1973	gdp_per_capita1974	gdp_per_capita1975	gdp_per_capita1976	gdp_per_capita1977	gdp_per_capita1978	gdp_per_capita1979	gdp_per_capita1980	gdp_per_capita1981	gdp_per_capita1982	gdp_per_capita1983	gdp_per_capita1984	gdp_per_capita1985	gdp_per_capita1986	gdp_per_capita1987	gdp_per_capita1988	gdp_per_capita1989	gdp_per_capita1990	gdp_per_capita1991	gdp_per_capita1992	gdp_per_capita1993	gdp_per_capita1994	gdp_per_capita1995	gdp_per_capita1996	gdp_per_capita1997	gdp_per_capita1998	gdp_per_capita1999	gdp_per_capita2000	gdp_per_capita2001	gdp_per_capita2002	gdp_per_capita2003	gdp_per_capita2004	gdp_per_capita2005	gdp_per_capita2006	gdp_per_capita2007	gdp_per_capita2008	gdp_per_capita2009	gdp_per_capita2010	gdp_per_capita2011	gdp_per_capita2012	gdp_per_capita2013	gdp_per_capita2014	gdp_per_capita2015	gdp_per_capita2016	gdp_per_capita2017	bribes2017	bribes2016	bribes2015	bribes2014	bribes2013	bribes2012	bribes2011	bribes2010	organized_crime2017	organized_crime2016	organized_crime2015	organized_crime2014	organized_crime2013	organized_crime2012	organized_crime2011	organized_crime2010	organized_crime2009	organized_crime2008	organized_crime2007
1	Iceland	ICELAND	ISL	Europe	North Atlantic	1.107	1.203	1.212	1.148	1.113	1.162	1.189	1.148	1.192	1.111	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	1	1	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7813	0.7836	0.7999	0.8276	0.8496	0.853	0.864	0.8731	0.8594	0.881	0.874	0.878	1414.982269	1418.12587	1562.23073	1831.705656	2297.920643	2723.52095	3215.694178	3125.649492	2354.480027	2039.196295	2597.387272	3278.648772	4047.619079	5481.730285	7098.028334	6506.866773	7645.18209	10038.54253	11328.46765	12743.83419	14942.814	15260.8281	13823.67322	11767.09307	12057.17284	12462.09879	16539.98028	22636.4869	24651.58933	22617.49166	25592.14715	27021.79826	27345.70609	23772.29122	24214.70973	26851.01722	27897.00172	28016.7524	30901.04929	32198.90858	31813.37344	28585.9254	31996.20172	39044.09099	46917.27216	56249.75055	56103.54115	68348.31817	55575.29196	40461.89251	41851.73548	46181.95294	44562.81802	48023.62691	52855.14048	51213.66133	60529.92676	NA	6.561985302	6.560975489	6.473582404	6.301997675	6.273985398	6.378955133	6.333493383	6.441091743	6.458764076	6.547647743	6.627645359	6.519740589	6.394062133	6.514348252	6.767661025	6.824194483	6.81483845	6.762694175	6.729003082
2	New Zealand	NEW ZEALAND	NZL	Oceania	NA	1.19	1.227	1.188	1.279	1.239	1.237	1.236	1.221	1.287	1.241	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7509	0.7649	0.7859	0.788	0.7808	0.781	0.7805	0.7799	0.7772	0.782	0.781	0.791	2312.949992	2343.292213	2448.628633	2622.220271	2813.546976	2151.294927	2191.312542	2188.399139	1885.156152	2077.895543	NA	2773.323107	3294.648943	4323.196535	4610.570426	4171.76974	4373.840998	4950.588205	5936.98526	6667.816472	7467.478059	7813.887543	7656.475732	7598.106618	6713.599457	7600.72277	9427.716616	12331.29492	13758.95945	13312.38559	13663.2011	12230.07345	11792.98869	13094.19063	15280.48144	17400.42018	18794.43604	17474.02032	14738.44557	15322.08851	13641.10272	13882.85683	16874.31232	21913.70817	25420.39935	27750.89515	26670.86452	32509.73471	31287.77865	28200.94193	33691.34837	38426.55081	39970.25624	42890.06602	44503.61464	38201.89037	39412.48525	NA	6.677545357	6.670712516	6.643662312	6.724228101	6.691688176	6.683242846	6.724149505	6.730844518	6.311545372	6.216518991	6.324547759	6.496413137	6.558274046	6.639684249	6.42286848	6.457021617	6.6343221	6.680853836	6.437456267
3	Portugal	PORTUGAL	PRT	Europe	Western Europe	1.385	1.426	1.366	1.453	1.47	1.467	1.425	1.344	1.356	1.258	1	1	1	1	2	2	2	2	NA	1	2	2	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6922	0.6959	0.7051	0.7013	0.7171	0.7144	0.7071	0.7056	0.7243	0.731	0.737	0.734	360.4992985	382.729947	407.8528436	432.5117296	468.7810816	520.9106594	575.0076807	646.8227201	719.0804919	795.7593714	934.17398	1064.642774	1302.394334	1748.161417	2000.614788	2127.847009	2173.49813	2267.594372	2457.554963	2755.89577	3368.69837	3246.294619	3080.252695	2735.760315	2522.995844	2705.459217	3862.328626	4804.338875	5624.25058	6056.977177	7885.394019	8959.867208	10811.63064	9535.594849	9978.301937	11782.52148	12185.06389	11578.44151	12202.69141	12474.81808	11502.39681	11729.14616	12882.28897	15772.7334	18045.5881	18784.9485	19821.44463	22780.05845	24815.60884	23063.97161	22538.65408	23196.18375	20577.40264	21618.73534	22077.53613	19252.63495	19871.71897	NA	5.102584267	5.077010013	5.157113524	5.181092923	5.162125501	5.130488167	5.107599112	5.255380343	5.985440254	6.200609397	6.274530367	6.26945659	6.210605372	6.206680716	6.209378877	6.197107335	6.189281065	6.476975269	6.472563874
4	Austria	AUSTRIA	AUT	Europe	Central Europe	1.291	1.24	1.29	1.337	1.328	1.25	1.2	1.198	1.278	1.265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6986	0.706	0.7153	0.7031	0.7091	0.7165	0.7391	0.7437	0.7266	0.733	0.716	0.709	935.4604269	1031.815004	1087.834243	1167.000532	1269.412583	1374.53214	1486.968606	1569.667183	1677.673528	1825.386126	2058.769079	2380.978443	2924.048871	3890.722456	4630.757207	5285.620724	5678.386638	6810.627729	8205.468927	9793.765307	10869.54642	9385.249018	9410.347225	9537.407431	8991.065076	9172.096769	13083.0727	16392.76957	17578.61894	17468.94619	21680.98969	22410.91174	24880.16407	24081.52781	25646.70066	30325.84958	29809.07677	26705.4786	27361.87511	27174.29716	24564.45829	24537.51426	26401.74546	32222.89724	36821.52147	38403.13388	40635.28182	46855.77175	51708.76575	47963.1794	46858.04327	51374.95841	48567.69529	50719.38828	51733.48192	44255.58336	44757.6349	NA	5.90310545	5.879474971	5.692195415	5.470629027	5.391098549	5.445610539	5.836300035	5.999916896	5.728451729	5.987675018	6.369799835	6.478242252	6.453255991	6.418254203	6.435027384	6.646571587	6.638682006	6.589976467	6.565409074
5	Denmark	DENMARK	DNK	Europe	Northern Europe	1.238	1.263	1.341	1.289	1.239	1.207	1.193	1.15	1.246	1.337	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7462	0.7519	0.7538	0.7628	0.7719	0.7778	0.7777	0.7779	0.8025	0.767	0.754	0.776	1364.51716	1503.537013	1681.029913	1775.370385	2013.243077	2243.931595	2443.259791	2644.786647	2712.6124	3068.236741	3464.456995	3845.496159	4654.305336	6119.372658	6770.73393	7999.111532	8787.580917	9783.840858	11826.00355	13752.00641	13883.89965	12081.78954	11804.43319	11857.90212	11562.91349	12253.09555	17201.08283	21340.71406	22527.0471	21901.05752	26891.44164	27011.38589	29569.65453	27597.97148	29995.56522	35351.38071	35650.72434	32835.92877	33368.15485	33440.80162	30743.55917	30751.64946	33228.69291	40458.77064	46511.60457	48799.82037	52026.99311	58487.04501	64322.06664	58163.29359	58041.41122	61753.66007	58507.50021	61191.19263	62548.98502	53012.99658	53578.75657	NA	6.37417841	6.489128015	6.432949079	6.188044735	6.080579054	6.398745209	6.691566345	6.533498127	5.397641659	5.807030737	5.80923681	5.455451566	5.541755742	6.090119671	6.799392643	6.640627342	6.766620479	6.776157587	6.654910545
6	Czech Republic	CZECH REPUBLIC	CZE	Europe	Central Europe	1.435	1.43	1.36	1.32	1.396	1.404	1.381	1.341	1.36	1.36	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.4	9.9	9.6	9	8.6	9	9.8	9.6	8.6	NA	NA	NA	NA	NA	NA	0.6712	0.6718	0.677	0.6789	0.685	0.6789	0.6767	0.677	0.6737	0.687	0.69	0.688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3917.15984	2878.719283	3352.034161	3931.744463	4601.952312	5788.150737	6493.863346	5996.83381	6458.904501	6307.698004	6011.61522	6609.20553	8032.896612	9773.117503	11685.88724	13346.17639	15183.63605	18373.649	22698.85396	19741.59763	19808.07109	21717.45794	19729.87051	19916.01939	19744.55861	17715.61685	18483.71648	NA	4.663539648	4.454860218	4.393791298	3.86987914	3.693840744	3.841604003	3.868132011	4.047847904	5.908153057	5.671596506	5.572517497	5.041072519	5.002521403	5.379704214	5.509755161	5.781634132	5.940129931	5.92201581	5.510652066
7	Slovenia	SLOVENIA	SVN	Europe	Central EuropeSoutheast Europe	1.37	1.343	1.358	1.358	1.33	1.374	1.398	1.378	1.408	1.364	2	2	2	2	2	1	1	1	NA	1	1	1	1	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2	11.6	11.5	12.3	11.3	12.7	13.6	13.5	14.5	NA	NA	NA	NA	NA	NA	0.6745	0.6842	0.6937	0.6982	0.7047	0.7041	0.7132	0.7155	0.7443	0.784	0.786	0.805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10690.66523	10801.42843	10447.93571	11165.27633	11441.99702	10227.73677	10479.29634	11814.09994	14880.47154	17260.90151	18169.18091	19726.1265	23841.31792	27501.81027	24633.79785	23437.47202	24985.24827	22532.43564	23357.9392	24202.43084	20873.16111	21650.21276	NA	4.94600668	5.162285362	4.997768683	4.698312315	4.811131915	4.914503256	4.8603962	5.185431618	5.419096947	5.651010762	5.528949711	5.525024031	5.726013499	5.753609072	5.798604	5.951457219	5.970960435	5.896688641	5.742611941
8	Canada	CANADA	CAN	North America	North America	1.264	1.324	1.392	1.355	1.317	1.306	1.306	1.287	1.388	1.371	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7165	0.7198	0.7136	0.7196	0.7372	0.7407	0.7381	0.7425	0.7464	0.74	0.731	0.769	2294.568814	2231.293824	2255.230044	2354.839122	2529.518179	2739.585849	3010.705908	3173.076194	3411.060154	3703.990405	4121.932809	4586.255848	5141.616725	5870.600564	7043.474351	7489.940531	8783.721592	8892.76168	9096.058722	10012.44397	11135.43799	12297.78569	12439.74784	13377.89565	13826.64999	14060.46178	14403.8287	16245.45168	18864.26292	20638.29005	21371.2911	21664.59864	20771.25035	20017.42985	19859.20398	20577.48939	21183.22008	21770.13408	20887.83947	22167.22585	24124.16917	23691.59472	24167.80431	28172.14883	31979.87195	36189.58838	40386.69948	44544.5268	46596.33599	40773.45436	47447.47602	52082.21076	52496.69487	52418.31506	50633.20882	43525.37019	42348.94546	NA	5.956540298	5.856597138	5.919091378	5.783986497	5.765431732	5.989923617	6.175558294	6.183154103	5.235300064	5.420221116	5.39793081	5.271375812	5.458884545	5.766919966	5.669597918	5.768840705	5.958267864	5.91689765	5.580387951
9	Switzerland	SWITZERLAND	CHE	Europe	Western Europe	1.234	1.349	1.424	1.421	1.349	1.272	1.258	1.275	1.37	1.373	1	1	2	2	1	1	1	1	NA	2	2	2	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6997	0.6924	0.736	0.7426	0.7562	0.7627	0.7672	0.7736	0.7798	0.785	0.776	0.755	1787.360348	1971.316323	2131.391652	2294.182847	2501.29319	2620.475547	2784.733548	2960.722586	3121.889031	3344.783603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18832.19672	17153.40132	17478.65579	17341.99488	16499.14693	16655.33739	23751.44952	29558.89548	31743.65291	30401.89248	38428.3855	38399.21061	39534.542	38100.73673	41843.75688	48662.43977	46676.85094	40417.96228	41497.20261	40581.30705	37868.32306	38538.99005	41376.39399	48087.58314	53340.14766	54952.67372	57579.50195	63555.2375	72487.84593	69927.46877	74605.72102	88415.62806	83538.23008	85112.4644	86605.56338	82016.02131	79887.51824	NA	6.370984173	6.358495205	6.295046463	6.218649828	6.172113015	6.168407218	6.254673434	6.272833336	6.055696964	6.055672833	6.179922343	5.917456991	5.882366787	6.362328497	6.384852126	6.506581739	6.374700258	6.368382802	6.426774724
10	Ireland	IRELAND	IRL	Europe	Europe	1.31	1.393	1.337	1.37	1.328	1.37	1.384	1.354	1.433	1.408	NA	NA	NA	NA	1	NA	2	2	1	1	1	1	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7335	0.7457	0.7518	0.7597	0.7773	0.783	0.7839	0.7823	0.785	0.807	0.797	0.794	685.6147124	739.2764064	797.0062884	852.1353017	965.1354227	1023.773726	1074.506506	1152.004952	1124.516636	1291.34992	1488.294699	1705.972597	2082.956898	2427.172299	2519.941695	2976.960967	2923.079668	3431.177511	4405.256137	5436.464923	6380.069479	5993.322973	6168.016379	5922.325869	5698.844185	6018.935085	8121.886303	9593.388328	10728.70371	11189.20062	14048.10624	14104.07833	15733.20401	14674.6146	15921.97488	19181.40048	20860.59696	22542.8108	24263.23885	26284.30478	26241.51451	28227.27791	32539.95499	41107.03151	47630.92531	50878.63814	54306.91278	61359.64477	61257.89572	52104.03515	48671.88829	52224.01021	49177.44026	52060.46867	55899.16325	62544.63165	64175.43772	NA	6.131576729	6.430599601	6.420613219	6.25385266	6.138848362	6.106099364	6.113157755	6.067139085	5.503160477	5.808974847	6.085879251	5.860133566	5.887988285	6.279088786	6.467183619	6.548293795	6.383651294	6.275643509	6.003506494
