,ISO 3166-1 numeric code,Location,pop1950,pop1955,pop1960,pop1965,pop1970,1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015
1,900,World,2 536 274.721,2 772 242.535,3 033 212.527,3 339 592.688,3 700 577.650,4 079 087.198,4 458 411.534,4 873 781.796,5 330 943.460,5 751 474.416,6 145 006.989,6 542 159.383,6 958 169.159,7 383 008.820
2,901,More developed regions,814 865.069,865 069.444,917 067.920,967 380.886,1 009 081.779,1 049 413.674,1 084 244.071,1 115 935.023,1 146 999.191,1 171 325.471,1 190 504.735,1 210 545.530,1 235 142.506,1 253 206.546
3,902,Less developed regions,1 721 409.652,1 907 173.091,2 116 144.607,2 372 211.802,2 691 495.871,3 029 673.524,3 374 167.463,3 757 846.773,4 183 944.269,4 580 148.945,4 954 502.254,5 331 613.853,5 723 026.653,6 129 802.274
4,941,Least developed countries,195 259.056,215 421.063,240 742.196,271 400.502,308 486.373,347 093.126,393 279.303,447 240.981,510 827.576,585 496.175,664 804.763,754 118.072,848 791.962,956 631.108
5,934,"      Less developed regions, excluding least developed countries",1 526 150.596,1 691 752.028,1 875 402.411,2 100 811.300,2 383 009.498,2 682 580.398,2 980 888.160,3 310 605.792,3 673 116.693,3 994 652.770,4 289 697.491,4 577 495.781,4 874 234.691,5 173 171.166
6,948,"   Less developed regions, excluding China",1 157 196.536,1 284 636.948,1 444 523.768,1 633 307.449,1 847 894.954,2 088 018.139,2 357 419.196,2 662 232.088,2 985 061.977,3 312 454.642,3 642 371.416,3 980 077.157,4 332 606.955,4 701 441.323
7,1503,High-income countries,672 895.958,715 241.145,761 557.609,808 971.475,851 319.125,892 915.207,929 939.165,965 012.855,1 000 109.343,1 035 594.964,1 070 130.224,1 106 701.844,1 148 592.393,1 180 060.957
8,1517,Middle-income countries,1 734 480.842,1 916 892.378,2 115 931.194,2 356 493.838,2 652 001.365,2 962 675.794,3 275 987.701,3 624 140.520,4 006 282.317,4 342 278.351,4 647 489.693,4 944 485.729,5 246 881.509,5 558 263.979
9,1501,Lower-middle-income countries,778 277.186,856 426.928,954 378.255,1 071 123.459,1 204 047.097,1 353 508.558,1 524 562.327,1 720 525.775,1 926 867.853,2 134 261.009,2 339 911.631,2 546 842.104,2 757 470.386,2 969 900.999
10,1502,Upper-middle-income countries,956 203.656,1 060 465.450,1 161 552.939,1 285 370.379,1 447 954.268,1 609 167.236,1 751 425.374,1 903 614.745,2 079 414.464,2 208 017.342,2 307 578.062,2 397 643.625,2 489 411.123,2 588 362.980
11,1500,Low-income countries,128 096.648,139 196.080,154 670.163,172 929.952,195 910.639,222 101.799,250 969.220,282 952.714,322 686.243,371 552.946,425 129.552,488 440.913,560 007.444,641 858.608
12,947,Sub-Saharan Africa,179 621.076,198 379.925,221 490.118,249 638.962,283 310.117,323 680.871,372 309.527,428 899.697,493 329.020,564 806.652,645 007.134,736 925.453,845 136.154,969 234.251
13,903,Africa,228 670.019,253 995.025,285 142.006,322 470.634,366 458.929,417 898.074,480 012.209,552 796.228,634 567.044,722 921.961,817 566.004,924 757.708,1 049 446.344,1 194 369.908
14,910,Eastern Africa,66 758.254,74 585.806,84 182.469,95 996.653,110 292.070,127 204.270,147 518.890,171 123.080,198 645.937,226 021.034,261 113.890,300 599.706,346 987.498,399 458.026
15,108,Burundi,2 308.920,2 531.184,2 786.106,3 077.876,3 455.606,3 671.494,4 116.817,4 702.066,5 415.415,5 962.058,6 400.706,7 423.289,8 766.930,10 199.270
16,174,Comoros,159.459,175.903,191.121,207.424,230.054,257.29,307.829,355.337,411.594,475.394,542.357,611.627,689.692,777.424
17,262,Djibouti,62.001,69.589,83.636,114.963,159.659,224.183,358.96,425.613,590.398,630.388,717.584,783.254,851.146,927.414
18,232,Eritrea,1 142.148,1 249.193,1 397.491,1 589.179,1 811.878,2 075.965,2 385.540,2 753.151,3 113.311,3 090.159,3 392.801,3 969.007,4 390.840,4 846.976
19,231,Ethiopia,18 128.034,19 947.292,22 151.278,25 013.626,28 415.077,32 566.821,35 264.898,40 800.343,48 086.516,57 309.880,66 537.331,76 727.083,87 702.670,99 873.033
20,404,Kenya,6 076.758,6 979.931,8 105.440,9 504.703,11 252.492,13 486.629,16 268.990,19 651.225,23 402.507,27 346.456,31 450.483,36 048.288,41 350.152,47 236.259
21,450,Madagascar,4 083.554,4 543.542,5 099.373,5 769.218,6 576.305,7 556.026,8 716.553,10 063.495,11 598.633,13 475.400,15 766.806,18 336.724,21 151.640,24 234.088
22,454,Malawi,2 953.871,3 252.332,3 618.595,4 058.673,4 603.723,5 292.808,6 163.080,7 211.105,9 437.553,9 909.088,11 376.172,13 039.711,15 167.095,17 573.607
23,480,Mauritius,493.255,570.648,660.023,753.285,826.441,892.211,966.031,1 015.762,1 055.868,1 128.673,1 185.145,1 222.003,1 247.955,1 259.456
24,175,Mayotte,15.141,18.985,24.015,30.526,36.969,45.483,55.137,72.104,94.784,123.181,150.331,178.098,208.718,240.02
25,508,Mozambique,6 152.237,6 701.749,7 388.695,8 203.076,9 161.534,10 344.494,11 848.331,12 984.405,13 247.649,15 759.132,18 067.687,20 923.070,24 221.405,28 010.691
26,638,Réunion,248.11,291.658,335.693,390.775,462.025,484.777,509.265,558.699,610.582,673.541,736.71,791.598,830.519,863.363
